"nzffdRecordNumber","catchmentName","waterBody","waterTemperature","minLength","samplingMethod"
8642,"Mokau R","Mairoa Stream",18,80,"Electric fishing - Backpack"
8795,"Maungamaungaroa C","Maungamaungaroa Creek",17.8,60,"Electric fishing - Backpack"
9061,"Otahu R","Otahu River",12,30,"Electric fishing - Backpack"
9062,"Otahu R","Otahu River",11,50,"Electric fishing - Backpack"
9870,"Waikato R","Whirinaki Stream",14,33,"Electric fishing - Type unknown"
9872,"Waikato R","Rotohouhou Stream",11.5,37,"Electric fishing - Type unknown"
9873,"Waikato R","Whirinaki Stream",17.5,38,"Electric fishing - Type unknown"
9874,"Waikato R","Karapiti Stream",12.5,24,"Electric fishing - Type unknown"
9961,"Buller R","Louis Creek",8,150,"Electric fishing - Backpack"
10054,"Waikato R","Awaroa River",17,50,"Observation - Observation"
10132,"Motueka R","Slippery Creek",15,110,"Electric fishing - Backpack"
10134,"Buller R","Maggie Creek",18,45,"Electric fishing - Type unknown"
10373,"Motueka R","Rainy River",19,45,"Electric fishing - Backpack"
10450,"Motueka R","Baton River",13.5,55,"Electric fishing - Backpack"
10500,"Waitemata Hbr","Hellyers Creek",10.4,30,"Electric fishing - Combination of traps and electric fishing"
10629,"Puhoi R","Hikauae Creek tributary",7.9,80,"Electric fishing - Combination of traps and electric fishing"
10631,"Puhoi R","Hikauae Creek",7.8,30,"Electric fishing - Combination of traps and electric fishing"
10686,"Tairua R","Duck Creek tributary",13.9,30,"Electric fishing - Type unknown"
10688,"Tairua R","Duck Creek tributary",13.8,20,"Electric fishing - Type unknown"
11026,"Waitakere R","Waitoru Stream",16,10,"Electric fishing - Type unknown"
11027,"Waitakere R","Mokoroa Stream",17,10,"Electric fishing - Type unknown"
11028,"Waitakere R","Mokoroa Stream",17,10,"Electric fishing - Type unknown"
11037,"Big Muddy C","Nihotupu Stream",15,20,"Electric fishing - Type unknown"
11044,"Mahurangi Hbr","Mahurangi River tributary",11.4,10,"Electric fishing - Type unknown"
11049,"Wairoa R","Cosseys Creek",6,30,"Electric fishing - Type unknown"
11127,"Whanganui In","Whanganui Inlet tributary",11.5,20,"Electric fishing - Type unknown"
11129,"Whanganui In","Unnamed stream Whanganui Inlet",12.2,200,"Electric fishing - Type unknown"
11130,"Whanganui In","Unnamed stream Whanganui Inlet",12.4,80,"Electric fishing - Type unknown"
11834,"Karoro C","Karoro Creek",9.6,35,"Electric fishing - Type unknown"
11836,"Longbeach C","Longbeach Creek tributary",8,10,"Electric fishing - Type unknown"
11837,"Waipati R","Alison Creek",7,55,"Electric fishing - Type unknown"
11838,"Hukihuki C","Hukihuki Creek",11,65,"Electric fishing - Type unknown"
11839,"Tautuku B","Isas Creek",9,50,"Electric fishing - Type unknown"
11840,"Catlins R","Sweetwater Creek",9,70,"Electric fishing - Backpack"
11841,"Catlins R","Mill Creek",8.5,60,"Electric fishing - Type unknown"
11844,"Purakaunui R","Purakauiti Stream",10,10,"Electric fishing - Backpack"
